PHASE,site,cultures,fmc,time,level,trend,date_lab,fmctime,fmclevel,fmctrend
baseline,fmc,17.4488568,1,1,0,0,17-Jun,1,0,0
baseline,fmc,15.60676779,1,2,0,0,17-Jul,2,0,0
baseline,fmc,14.50562463,1,3,0,0,17-Aug,3,0,0
baseline,fmc,16.44130301,1,4,0,0,17-Sep,4,0,0
baseline,fmc,14.88945706,1,5,0,0,17-Oct,5,0,0
baseline,fmc,12.84764208,1,6,0,0,17-Nov,6,0,0
baseline,fmc,13.91737474,1,7,0,0,17-Dec,7,0,0
baseline,fmc,14.63630988,1,8,0,0,18-Jan,8,0,0
baseline,fmc,16.78415576,1,9,0,0,18-Feb,9,0,0
baseline,fmc,17.0017741,1,10,0,0,18-Mar,10,0,0
baseline,fmc,12.69349845,1,11,0,0,18-Apr,11,0,0
baseline,fmc,16.29036868,1,12,0,0,18-May,12,0,0
baseline,fmc,17.08143131,1,13,0,0,18-Jun,13,0,0
baseline,fmc,18.67940921,1,14,0,0,18-Jul,14,0,0
baseline,fmc,17.00288184,1,15,0,0,18-Aug,15,0,0
baseline,fmc,17.78868272,1,16,0,0,18-Sep,16,0,0
baseline,fmc,18.6120329,1,17,0,0,18-Oct,17,0,0
baseline,fmc,15.28829354,1,18,0,0,18-Nov,18,0,0
baseline,fmc,16.12903226,1,19,0,0,18-Dec,19,0,0
baseline,fmc,15.41755889,1,20,0,0,19-Jan,20,0,0
baseline,fmc,16.70214508,1,21,0,0,19-Feb,21,0,0
baseline,fmc,14.78112564,1,22,0,0,19-Mar,22,0,0
baseline,fmc,14.85731097,1,23,0,0,19-Apr,23,0,0
baseline,fmc,15.3803132,1,24,0,0,19-May,24,0,0
post,fmc,19.46750644,1,25,1,1,19-Jun,25,1,1
post,fmc,13.57972841,1,26,1,2,19-Jul,26,1,2
post,fmc,11.48105626,1,27,1,3,19-Aug,27,1,3
post,fmc,11.11923921,1,28,1,4,19-Sep,28,1,4
post,fmc,12.72701273,1,29,1,5,19-Oct,29,1,5
post,fmc,9.672619048,1,30,1,6,19-Nov,30,1,6
post,fmc,11.23749486,1,31,1,7,19-Dec,31,1,7
post,fmc,10.1095198,1,32,1,8,20-Jan,32,1,8
post,fmc,12.82051282,1,33,1,9,20-Feb,33,1,9
post,fmc,9.637753406,1,34,1,10,20-Mar,34,1,10
post,fmc,11.57453602,1,35,1,11,20-Apr,35,1,11
post,fmc,13.08258381,1,36,1,12,20-May,36,1,12
post,fmc,12.85028642,1,37,1,13,20-Jun,37,1,13
baseline,control,9.502309954,0,1,0,0,17-Jun,0,0,0
baseline,control,9.487761797,0,2,0,0,17-Jul,0,0,0
baseline,control,8.660478141,0,3,0,0,17-Aug,0,0,0
baseline,control,8.151445273,0,4,0,0,17-Sep,0,0,0
baseline,control,7.416305426,0,5,0,0,17-Oct,0,0,0
baseline,control,9.164164955,0,6,0,0,17-Nov,0,0,0
baseline,control,7.856171627,0,7,0,0,17-Dec,0,0,0
baseline,control,8.03932613,0,8,0,0,18-Jan,0,0,0
baseline,control,7.300528857,0,9,0,0,18-Feb,0,0,0
baseline,control,7.925758716,0,10,0,0,18-Mar,0,0,0
baseline,control,8.479932582,0,11,0,0,18-Apr,0,0,0
baseline,control,8.6497581,0,12,0,0,18-May,0,0,0
baseline,control,7.820539206,0,13,0,0,18-Jun,0,0,0
baseline,control,7.81844951,0,14,0,0,18-Jul,0,0,0
baseline,control,9.120283511,0,15,0,0,18-Aug,0,0,0
baseline,control,8.575589235,0,16,0,0,18-Sep,0,0,0
baseline,control,9.097450658,0,17,0,0,18-Oct,0,0,0
baseline,control,6.91709583,0,18,0,0,18-Nov,0,0,0
baseline,control,9.477484706,0,19,0,0,18-Dec,0,0,0
baseline,control,8.693894056,0,20,0,0,19-Jan,0,0,0
baseline,control,7.053246228,0,21,0,0,19-Feb,0,0,0
baseline,control,8.106226378,0,22,0,0,19-Mar,0,0,0
baseline,control,9.241094476,0,23,0,0,19-Apr,0,0,0
baseline,control,8.047290249,0,24,0,0,19-May,0,0,0
post,control,9.330070358,0,25,1,1,19-Jun,0,0,0
post,control,9.249484743,0,26,1,2,19-Jul,0,0,0
post,control,9.504447268,0,27,1,3,19-Aug,0,0,0
post,control,8.136823011,0,28,1,4,19-Sep,0,0,0
post,control,9.885854056,0,29,1,5,19-Oct,0,0,0
post,control,7.046632124,0,30,1,6,19-Nov,0,0,0
post,control,9.124688397,0,31,1,7,19-Dec,0,0,0
post,control,8.329547176,0,32,1,8,20-Jan,0,0,0
post,control,10.05949162,0,33,1,9,20-Feb,0,0,0
post,control,7.194244604,0,34,1,10,20-Mar,0,0,0
post,control,6.221087893,0,35,1,11,20-Apr,0,0,0
post,control,7.741291048,0,36,1,12,20-May,0,0,0
post,control,7.249793705,0,37,1,13,20-Jun,0,0,0
